what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1287203727733
processors,sysinfo,,,"2",1287203727733
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1287203727733
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1287203727733
java.specification.name,sysinfo,,,"Java Platform API Specification",1287203727733
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287203727733
java.specification.version,sysinfo,,,"1.6",1287203727733
java.vendor,sysinfo,,,"Apple Inc.",1287203727733
java.version,sysinfo,,,"1.6.0_20",1287203727733
java.vm.info,sysinfo,,,"mixed mode",1287203727733
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1287203727733
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287203727733
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287203727733
java.vm.specification.version,sysinfo,,,"1.0",1287203727733
java.vm.vendor,sysinfo,,,"Apple Inc.",1287203727733
java.vm.version,sysinfo,,,"16.3-b01-279",1287203727733
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1287203728172
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1287203728233
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1287203728256
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287203728602
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1287203728619
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1287203728860
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1287203729036
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1287203729276
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1287203729312
